"item","Frequency"
"don t let the",48
"for the kind words",48
"get a lot of",48
"give it a try",48
"hard for me to",48
"have a hard time",48
"he doesn t have",48
"i had a dream",48
"i know i am",48
"it is hard to",48
"it used to be",48
"it was nice to",48
"keep an eye out",48
"know if you need",48
"of the company s",48
"one of a kind",48
"really don t want",48
"t want to miss",48
"that he didn t",48
"the past few days",48
"they were going to",48
"to do with it",48
"to get back on",48
"to hang out with",48
"to see you again",48
"want to know what",48
"we didn t have",48
"what happens when you",48
"what it takes to",48
"what you want to",48
"won t have to",48
"a glass of wine",47
"and if you re",47
"and out of the",47
"at the expense of",47
"because i didn t",47
"been a long time",47
"by the way i",47
"do i have to",47
"do the right thing",47
"don t worry about",47
"for as long as",47
"forward to your tweets",47
"give us a call",47
"going to be able",47
"i ll send you",47
"i m such a",47
"i m sure that",47
"i think i am",47
"i was about to",47
"i will be in",47
"if you are in",47
"in a variety of",47
"in the first inning",47
"it s just not",47
"let s get it",47
"m so proud of",47
"more than 100 000",47
"my way to the",47
"no i m not",47
"on a regular basis",47
"on condition of anonymity",47
"rt if you love",47
"so it s not",47
"thanks to all of",47
"that i want to",47
"the last few days",47
"there would be no",47
"this is the best",47
"to come to the",47
"turns out to be",47
"what happened to the",47
"2 30 p m",46
"8 30 a m",46
"a couple of hours",46
"a good idea to",46
"and of course the",46
"as long as it",46
"as soon as possible",46
"be able to see",46
"can t afford to",46
"couldn t agree more",46
"doesn t mean you",46
"don t really know",46
"don t think they",46
"food and drug administration",46
"glad you like it",46
"have a wonderful day",46
"i can think of",46
"i didn t really",46
"i had to go",46
"i m just not",46
"i think i will",46
"i want to know",46
"i was in a",46
"in the last two",46
"in the top of",46
"it s the same",46
"it wouldn t be",46
"just let me know",46
"keep an eye on",46
"let s just say",46
"martin luther king jr",46
"now i don t",46
"once upon a time",46
"one of these days",46
"over the past two",46
"rt thanks for the",46
"s one of those",46
"side of the road",46
"so i thought i",46
"so you don t",46
"t want to get",46
"thanks for the great",46
"the day of the",46
"the national weather service",46
"the quality of the",46
"the second half of",46
"there s also a",46
"to 4 p m",46
"to get on the",46
"to make sure i",46
"was part of the",46
"we are looking for",46
"we have a lot",46
"we re looking for",46
"we went to the",46
"what do you mean",46
"when i don t",46
"you going to be",46
"a fan of the",45
"a result of the",45
"a very long time",45
"a way to get",45
"are we going to",45
"be a good day",45
"best of luck to",45
"but i m sure",45
"but there s no",45
"but they don t",45
"do a lot of",45
"do the same thing",45
"do you think the",45
"don t think the",45
"don t understand why",45
"don t you think",45
"for one of the",45
"glad you liked it",45
"going on in the",45
"had a great weekend",45
"have to deal with",45
"have to do with",45
"have to say i",45
"i don t do",45
"i guess i ll",45
"i guess that s",45
"i knew it was",45
"i ll be sure",45
"i ll give you",45
"i m just going",45
"i m kind of",45
"i ve been thinking",45
"i was looking for",45
"i will be there",45
"in love with the",45
"in the mood for",45
"in the past few",45
"is what it is",45
"it out of the",45
"it s also a",45
"it s in the",45
"mothers day to all",45
"on behalf of the",45
"on the new york",45
"on the road to",45
"other parts of the",45
"quite a bit of",45
"said it was a",45
"she and her husband",45
"that s a great",45
"the back of my",45
"the fact that they",45
"the right thing to",45
"the wall street journal",45
"those who don t",45
"thx for the follow",45
"to be the most",45
"to find out what",45
"to go on a",45
"to have a good",45
"to make it to",45
"to pay for the",45
"to see what you",45
"to see you soon",45
"to set up a",45
"to the bottom of",45
"want it to be",45
"we re excited to",45
"word of the day",45
"you are having a",45
"you don t see",45
"you have to have",45
"a bachelor s degree",44
"a friend of mine",44
"a look at the",44
"and it doesn t",44
"and it will be",44
"and that s the",44
"are you coming to",44
"at the time the",44
"believe it or not",44
"but there s a",44
"can t make it",44
"earlier in the day",44
"get in the way",44
"have to say that",44
"haven t been able",44
"i came up with",44
"i cant wait to",44
"i d have to",44
"i have to get",44
"i hope you enjoy",44
"i m just a",44
"i m proud of",44
"i might have to",44
"i think this is",44
"i used to be",44
"i was on the",44
"i wonder if i",44
"if it s not",44
"if there s a",44
"it s a big",44
"it s just that",44
"it s not as",44
"keep up the great",44
"know what it is",44
"m just going to",44
"not a lot of",44
"of the things that",44
"on a daily basis",44
"one at a time",44
"so much for your",44
"so much to do",44
"so that we can",44
"t have to worry",44
"t know why i",44
"that i have to",44
"the next couple of",44
"the only one that",44
"the power of the",44
"think it would be",44
"this is gonna be",44
"to 5 p m",44
"to be honest i",44
"to catch up on",44
"to catch up with",44
"to everyone who came",44
"want to be in",44
"we didn t get",44
"we ve had a",44
"what s the best",44
"will be the first",44
"you can t make",44
"you know i m",44
"you need to do",44
