"w1","w2","rank"
"also","great",40
"also","growing",5
"also","guess",3
"also","happen",11
"also","happens",8
"also","happy",18
"also","hard",6
"also","heading",3
"also","hear",15
"also","heard",8
"also","heavy",3
"also","help",39
"also","helped",28
"also","helpful",5
"also","helping",6
"also","helps",17
"also","highly",9
"also","hit",3
"also","hold",8
"also","holds",6
"also","hope",14
"also","hoping",5
"also","house",6
"also","huge",5
"also","hurt",7
"also","important",20
"also","improves",4
"also","include",38
"also","included",49
"also","includes",52
"also","increase",4
"also","incredible",3
"also","interested",8
"also","invented",3
"also","invited",9
"also","involved",17
"also","involves",5
"also","joined",9
"also","joining",4
"also","just",54
"also","keep",22
"also","keeping",5
"also","keeps",10
"also","kicked",7
"also","kind",8
"also","knew",21
"also","know",47
"also","known",84
"also","knows",16
"also","large",7
"also","lead",8
"also","leading",6
"also","leads",11
"also","learn",8
"also","learned",24
"also","learning",7
"also","left",13
"also","less",9
"also","let",11
"also","lets",5
"also","like",90
"also","liked",12
"also","likely",15
"also","likes",7
"also","line",4
"also","list",7
"also","listed",6
"also","little",22
"also","live",10
"also","lived",6
"also","long",9
"also","look",28
"also","looked",6
"also","looking",23
"also","looks",5
"also","lost",15
"also","lot",15
"also","lots",9
"also","love",68
"also","loved",10
"also","made",104
"also","major",4
"also","make",59
"also","makes",38
"also","making",16
"also","managed",12
"also","many",18
"also","mark",4
"also","may",28
"also","maybe",4
"also","mean",12
"also","means",45
"also","meant",11
"also","meeting",4
"also","mention",3
"also","mentioned",11
"also","met",9
"also","might",21
"also","missed",12
"also","move",3
"also","much",11
"also","must",24
"also","named",21
"also","need",48
"also","needed",6
"also","needs",19
"also","never",17
"also","new",39
"also","nice",18
"also","note",13
"also","noticed",6
"also","now",16
"also","occasionally",4
"also","offer",18
"also","offered",17
"also","offers",31
"also","one",49
"also","open",13
"also","opening",8
